customer_id, age , region     , city        , segment_true, onboarding_date, wallet_tenure_months, declared_income_band, avg_monthly_inflow_pkr, dependents, smartphone_user, avg_monthly_txns, complaints_12m, failed_txns_12m, has_savings, savings_balance_pkr, has_insurance, credit_score, churned_12m
C100000    , 33  , Sindh      , Karachi     , payroll     , 14/05/2024     ,                 13.0, 25-50k              ,                31700.0,          1, Yes            ,             10.4,              0,               1, False      ,                 0.0, False        ,          442, N
C100001    , 21  , Islamabad  , Islamabad   , merchant    , 07/01/2024     ,                 17.0, <25k                ,                23100.0,          0, Yes            ,             61.6,              1,               0, True       ,              3300.0, N            ,          435, N
C100002    , 41  , KP         , Peshawar    , borrower    , 2024-05-08     ,                 13.0, 25-50k              ,                41000.0,          1, True           ,              6.9,              0,               2, False      ,                 0.0, 1            ,          426, N
C100003    , 23  , Punjab     , Lahore      , payroll     , 2024-04-10     ,                 15.0,                     ,                15800.0,          1, True           ,             31.3,              1,               0, True       ,             10000.0, False        ,          399, N
C100004    , 43  , Punjab     , Lahore      , payroll     , 2023-06-28     ,                 23.0, <25k                ,                15200.0,          1, Yes            ,             18.1,              1,               2, N          ,                 0.0, Yes          ,          454, N
C100005    , 41  , Islamabad  , Islamabad   , borrower    , 2022-07-02     ,                 36.0,                     ,                46500.0,          3, N              ,              9.5,              1,               0, False      ,                 0.0, 1            ,          529, N
C100006    , 32  , punjab     , Multan      , borrower    , 03/10/2023     ,                 21.0, 50-100k             ,                45500.0,          2, Yes            ,             17.6,              0,               3, Yes        ,             13000.0, False        ,          489, N
C100007    , 25  , Balochistan, Quetta      , saver       , 2024-01-17     ,                     , 50-100k             ,                48900.0,          1, True           ,              7.9,              1,               0, True       ,             19900.0, False        ,          451, N
C100008    , 26  , KP         , Abbottabad  , saver       , 2024-05-28     ,                 13.0, 50-100k             ,                36900.0,          1, True           ,             10.4,              1,               1, True       ,              3900.0, N            ,          438, N
C100009    , 38  , sindh      , Karachi     , saver       , "Jul 11, 2023" ,                 24.0, 25-50k              ,                33800.0,          2, True           ,              5.2,              2,               1, True       ,              8100.0, Yes          ,          426, N
C100010    , 25  , Punjab     , Multan      , payroll     , 2023-09-23     ,                 20.0, <25k                ,                10100.0,          2, True           ,             23.5,              2,               0, False      ,                 0.0, False        ,          406, 
C100011    , 18  , punjab     , Lahore      , merchant    , 08/04/2023     ,                 27.0, 100-250k            ,               123600.0,          2, False          ,             52.0,              2,               0, 0          ,                 0.0, True         ,          468, N
C100012    , 20  , Punjab     , Rawalpindi  , payroll     , 2024-03-19     ,                 14.0, <25k                ,                19600.0,          1, Yes            ,             11.5,              0,               0, 1          ,             23500.0, False        ,          465, N
C100013    , 42  , Sindh      , Hyderabad   , merchant    , 2020-01-16     ,                 65.0, 50-100k             ,                57100.0,          1, Yes            ,             79.9,              2,               0, False      ,                 0.0, False        ,          523, N
C100014    , 36  , Sindh      , Karachi     , saver       , 2024-04-10     ,                 15.0, 25-50k              ,                29200.0,          2, True           ,              5.1,              1,               0, Yes        ,             21300.0, True         ,          424, N
C100015    , 24  , Sindh      , Karachi     , merchant    , 2024-02-11     ,                 17.0, 25-50k              ,                33000.0,          0, True           ,             35.4,              0,               3, N          ,                 0.0, N            ,          393, N
C100016    , 29  , AJK-GB     , Gilgit      , borrower    , 2020-11-12     ,                 56.0, <25k                ,                11500.0,          1, True           ,             12.2,              0,               0, Yes        ,              3900.0, True         ,          532, N
C100017    , 29  , KP         , Peshawar    , borrower    , 30/08/2022     ,                 34.0, 50-100k             ,                47000.0,          0, 1              ,             16.3,              0,               3, False      ,                 0.0, 0            ,          495, Y
C100018    , 54  , SINDH      , Karachi     , saver       , 2022-10-11     ,                 32.0, 25-50k              ,                29300.0,          1, True           ,              5.1,              0,               3, True       ,              2600.0, True         ,          482, N
C100019    , 22  , AJK-GB     , Gilgit      , payroll     , 2024-04-24     ,                 14.0,                     ,                46700.0,          4, Yes            ,             20.2,              0,               2, Yes        ,             16300.0, False        ,          428, N
C100020    , 24  , Punjab     , Sargodha    , payroll     , 09/01/2024     ,                 18.0,                     ,                25200.0,          1, True           ,              6.8,              0,               2, True       ,             16700.0, 0            ,          432, Y
C100021    , 32  , Punjab     , Faisalabad  , payroll     , 18/10/2023     ,                 19.0, <25k                ,                 8500.0,          3, Yes            ,             21.2,              1,               1, N          ,                 0.0, False        ,          462, N
C100022    , 36  , Sindh      , Karachi     , payroll     , 2022-11-29     ,                 31.0, 25-50k              ,                33500.0,          2, N              ,             16.3,              0,               1, Yes        ,              6200.0, True         ,          473, N
C100023    , 28  , Punjab     , Multan      , merchant    , 2022-04-05     ,                 39.0, 50-100k             ,                70400.0,          3, Yes            ,             47.4,              0,               0, False      ,                 0.0, False        ,          499, N
C100024    , 40  , Punjab     , Faisalabad  , payroll     , 2024-06-01     ,                 13.0, 25-50k              ,                38200.0,          1, Yes            ,              9.2,              1,               3, N          ,                 0.0, False        ,          422, N
C100025    , 33  , Sindh      , Hyderabad   , payroll     , 2021-06-13     ,                 49.0, 25-50k              ,                38200.0,          1, True           ,             21.5,              0,               2, N          ,                 0.0, False        ,          477, N
C100026    , 27  , sindh      , Karachi     , borrower    , 2021-09-05     ,                 46.0, 50-100k             ,                74200.0,          2, True           ,             11.1,              1,               0, N          ,                 0.0, N            ,          506, N
C100027    , 27  , Islamabad  , Islamabad   , merchant    , 2023-07-10     ,                 24.0, <25k                ,                15100.0,          0, Yes            ,             37.0,              0,               1, True       ,              1500.0, False        ,          434, N
C100028    , 31  , Sindh      , Hyderabad   , payroll     , 09/07/2021     ,                 48.0, 25-50k              ,                32300.0,          1, 1              ,             16.9,              0,               3, 0          ,                 0.0, N            ,          471, N
C100029    , 32  , Sindh      , Karachi     , borrower    , 2022-06-07     ,                 37.0, 50-100k             ,                59100.0,          1, 1              ,             13.8,              0,               1, 0          ,                 0.0, 0            ,          551, N
C100030    , 36  , sindh      , Sukkur      , merchant    , 26/12/2021     ,                 42.0,                     ,                30700.0,          3, Yes            ,             85.8,              0,               2, False      ,                 0.0, N            ,          519, N
C100031    , 44  , Punjab     , Lahore      , borrower    , 2022-12-28     ,                 29.0, <25k                ,                15900.0,          1, Yes            ,              8.9,              0,               1, False      ,                 0.0, True         ,          490, N
C100032    , 30  , Punjab     , Lahore      , saver       , 26/03/2024     ,                 14.0, <25k                ,                24900.0,          3, True           ,              6.6,              0,               2, Yes        ,             14600.0, N            ,          416, Y
C100033    , 40  , Punjab     , Faisalabad  , saver       , 2022-06-09     ,                 37.0, 25-50k              ,                27900.0,          3, True           ,             11.2,              1,               0, Yes        ,              5200.0, False        ,          496, N
C100034    , 40  , KP         , Peshawar    , borrower    , 2024-05-03     ,                 14.0,                     ,                36000.0,          2, 1              ,              7.9,              0,               2, N          ,                 0.0, False        ,          453, N
C100035    , 28  , Punjab     , Sargodha    , payroll     , 2023-09-06     ,                 22.0, 25-50k              ,                42600.0,          0, Yes            ,             18.7,              0,               1, 1          ,             22400.0, False        ,          415, N
C100036    , 18  , PUNJAB     , Faisalabad  , merchant    , 2023-03-07     ,                 28.0, 50-100k             ,                55200.0,          5, Yes            ,             34.3,              0,               0, False      ,                 0.0, False        ,          546, N
C100037    , 33  , Punjab     , Multan      , borrower    , 2023-08-10     ,                     , 25-50k              ,                34300.0,          1, True           ,             11.1,              1,               1, False      ,                 0.0, True         ,          449, N
C100038    , 35  , balochistan, Gwadar      , payroll     , 2023-12-19     ,                 18.0, 50-100k             ,                61000.0,          1, True           ,              9.7,              1,               2, False      ,                 0.0, False        ,          520, Y
C100039    , 44  , Punjab     , Faisalabad  , saver       , "Apr 23, 2022" ,                  9.0, 25-50k              ,                42400.0,          0, True           ,             10.3,              0,               0, 1          ,              6500.0, True         ,          515, Y
C100040    , 18  , PUNJAB     , Faisalabad  , merchant    , 2020-08-17     ,                 58.0, 25-50k              ,                46600.0,          5, Yes            ,             30.5,              0,               1, True       ,              9200.0, Yes          ,          548, N
C100041    , 38  , islamabad  , Islamabad   , payroll     , 2023-08-08     ,                 23.0,                     ,                26400.0,          3, False          ,             16.0,              0,               2, False      ,                 0.0, 0            ,          372, N
C100042    , 31  , sindh      , Hyderabad   , payroll     , "Jan 17, 2023" ,                 29.0, <25k                ,                17200.0,          1, True           ,             12.9,              0,               1, Yes        ,              6900.0, False        ,          510, N
