loan_id, customer_id, disbursed_date, purpose         , amount_pkr, term_months, interest_rate_pct, inflow_to_loan_ratio, defaulted
L500000, C107412    , 01/01/2025    , nano_loan       , 23638.0   ,           3, 20.5             ,                 0.22, False
L500001, C106708    , 2025-05-23    , nano_loan       , 23807.0   ,           1, 23.0             ,                 0.38, False
L500002, C106123    , 25/10/2024    , merchant_advance, 277761.0  ,           1, 34.2             ,                21.7 , True
L500003, C112525    , 15/08/2024    , nano_loan       , 12857.0   ,           3, 23.9%            ,                 0.48, False
L500004, C104772    , 2024-10-22    , nano_loan       , 22631.0   ,           3, 21.7%            ,                 0.75, False
L500005, C111618    , 2025-02-25    , merchant_advance, 158361.0  ,           1, 35.4             ,                 6.09, False
L500006, C102207    , 2025-01-13    , nano_loan       , 21081.0   ,           6, 34.9             ,                 1.33, False
L500007, C100980    , 2025-02-12    , nano_loan       , 11358.0   ,           3, 28.4%            ,                 0.26, False
L500008, C102684    , 2025-02-22    , merchant_advance, 302865.0  ,           1, 22.4%            ,                14.92, True
L500009, C112930    , 2025-04-25    , nano_loan       , 24956.0   ,           3, 27.1             ,                 0.56, False
L500010, C107541    , 2024-07-05    , nano_loan       , 15922.0   ,           1, 32.9             ,                 0.14, False
L500011, C108965    , 2024-10-22    , device_finance  , 92882.0   ,          12, 34.5             ,                 3.66, False
L500012, C102615    , 2024-07-25    , device_finance  , 57712.0   ,           3, 26.9             ,                 1.75, False
L500013, C107566    , 2024-08-10    , emergency       , 20700.0   ,          12, 28.2             ,                 0.31, False
L500014, C108715    , 2024-11-09    , merchant_advance, 183549.0  ,           1, 30.7             ,                 6.1 , False
L500015, C104067    , 24/10/2024    , merchant_advance, 32572.0   ,           3, 23.8%            ,                 2.01, False
L500016, C100933    , 2024-07-08    , nano_loan       , 20571.0   ,           1, 30.7%            ,                 0.42, False
L500017, C112507    , 2024-07-27    , nano_loan       , 22225.0   ,           6, 19.5             ,                 0.32, False
L500018, C105943    , 11/02/2025    , nano_loan       , 12500.0   ,           1, 32.8             ,                 0.16, False
L500019, C104156    , 2024-12-07    , nano_loan       , 21917.0   ,           6, 34.9             ,                 0.93, False
L500020, C110663    , 2025-01-05    , nano_loan       , 17273.0   ,           6, 18.7             ,                 0.37, False
L500021, C112517    , 2024-08-20    , device_finance  , 92118.0   ,           1, 23.4             ,                 1.73, False
L500022, C105367    , 2025-02-07    , emergency       , 47801.0   ,           3, 35.6             ,                 1.08, False
L500023, C111025    , 2025-03-11    , merchant_advance, 129583.0  ,           3, 24.7             ,                 2.73, False
L500024, C100509    , 23/07/2024    , merchant_advance, 86948.0   ,          12, 35.0             ,                 8.96, False
L500025, C113354    , 2024-12-12    , nano_loan       , 11170.0   ,           1, 24.9             ,                 0.32, False
L500026, C107769    , 2025-01-09    , device_finance  , 108922.0  ,           1, 35.2             ,                 3.74, False
L500027, C102169    , 2024-09-20    , merchant_advance, 188610.0  ,           3, 29.2             ,                 5.82, True
L500028, C114596    , 14/02/2025    , nano_loan       , 4199.0    ,           6, 21.7             ,                 0.07, False
L500029, C104729    , 2024-07-29    , nano_loan       , 13521.0   ,           3, 35.8             ,                 0.28, False
L500030, C109872    , 2025-03-22    , merchant_advance, 386865.0  ,           3, 25.5%            ,                 5.34, False
L500031, C112183    , 2025-02-25    , merchant_advance, 261980.0  ,           3, 27.1%            ,                23.39, True
L500032, C106038    , 2025-02-08    , emergency       , 40888.0   ,           3, 19.6             ,                 2.48, False
L500033, C108966    , 04/10/2024    , nano_loan       , 15021.0   ,           1, 31.6             ,                 0.28, False
L500034, C100851    , 16/03/2025    , nano_loan       , 10431.0   ,          12, 30.4%            ,                 0.32, False
L500035, C107925    , 2024-12-27    , nano_loan       , 15556.0   ,           3, 19.1             ,                 0.38, False
L500036, C101652    , 2025-03-29    , nano_loan       , 18350.0   ,           6, 34.4             ,                 0.43, False
L500037, C114827    , 2024-08-28    , nano_loan       , 20565.0   ,           6, 25.4             ,                 0.28, False
