customer_id, month   , txn_count, txn_value_pkr
C100000    , 2024-07 , 6        ,        9130.0
C100001    , 2024-07 , 15       ,       33790.0
C100002    , 2024-07 , 4        ,        6970.0
C100003    , 2024-07 , 14       ,       21560.0
C100004    , 2024-07 , 4        ,        5420.0
C100005    , 2024-07 , 3        ,        3010.0
C100006    , 2024-07 , 11       ,       16810.0
C100007    , 2024-07 , 4        ,       19590.0
C100008    , 2024-07 , 4        ,        9510.0
C100009    , 2024-07 , 1        ,        1190.0
C100010    , 2024-07 , 13       ,       27700.0
C100011    , 2024-07 , 22       ,       20870.0
C100012    , 2024-07 , 7        ,       28680.0
C100013    , 2024-07 , 23       ,       46120.0
C100014    , 2024-07 , 3        ,        5520.0
C100015    , 2024-07 , 13       ,       31310.0
C100016    , 2024-07 , 2        ,        3400.0
C100017    , 2024-07 , 6        ,        2660.0
C100018    , 2024-07 , 1        ,        2600.0
C100019    , 2024-07 , 9        ,       31840.0
C100020    , 2024-07 , 2        ,        4840.0
C100021    , 2024-07 , 7        ,       28490.0
C100022    , 2024-07 , 10       ,       27580.0
C100023    , 2024-07 , 10       ,       26260.0
C100024    , 2024-07 , 2        ,        3720.0
C100025    , 2024-07 , 3        ,        6060.0
C100026    , 2024-07 , 2        ,        3620.0
C100027    , 2024-07 , 8        ,       20520.0
C100029    , 2024-07 , 5        ,       28150.0
C100030    , 2024-07 , 35       ,       49390.0
C100031    , 2024-07 , 5        ,       13270.0
C100032    , 2024-07 , 1        ,        7630.0
C100033    , 2024-07 , 2        ,        2800.0
C100034    , 2024-07 , 3        ,        3570.0
C100035    , 2024-07 , 7        ,        9900.0
C100036    , 2024-07 , 12       ,       13350.0
C100037    , 2024-07 , 2        ,        6000.0
C100038    , 2024-07 , 2        ,        3110.0
C100039    , 2024-07 , 4        ,       19760.0
C100040    , 2024-07 , 9        ,       21400.0
C100041    , 2024-07 , 5        ,       12560.0
C100042    , 2024-07 , 6        ,        8260.0
C100043    , 2024-07 , 1        ,        1680.0
C100044    , 2024-07 , 5        ,        9330.0
C100045    , 2024-07 , 2        ,        1690.0
C100046    , 2024-07 , 0        ,           0.0
C100047    , 2024-07 , 4        ,        6680.0
C100048    , 2024-07 , 17       ,       30460.0
C100050    , 2024-07 , 5        ,       20850.0
C100051    , 2024-07 , 2        ,        3640.0
C100052    , 2024-07 , 5        ,       13960.0
C100053    , 2024-07 , 4        ,        9580.0
C100054    , 2024-07 , 2        ,        2030.0
C100055    , 2024-07 , 0        ,           0.0
C100056    , 2024-07 , 17       ,       91480.0
C100057    , 2024-07 , 30       ,       78650.0
C100058    , 2024-07 , 2        ,        5640.0
